Date ,Kuwait ,Nigeria,India,US,UAE,Qatar,UK,Germany,Brazil,China,Japan 
2/28/2022,4.37,15.7,6.07,7.9,2.61,3.99,6.2,4.3,10.54,0.9,0.9
1/31/2022,4.3,15.6,6.01,7.5,2.61,4.16,5.5,4.2,10.38,0.9,0
12/31/2021,4.3,15.6,5.66,7,2.573333333,6.47,5.4,4.9,10.06,1.5,0.8
11/30/2021,3.89,4.37,4.91,6.8,2.536666667,6.09,5.1,4.8,10.74,2.3,0.6
10/31/2021,3.82,4.3,4.48,6.2,2.5,4.28,4.2,4.4,10.67,1.5,0.1
9/30/2021,4.09,4.3,4.35,5.4,2.063333333,2.71,3.1,4.1,10.25,0.7,0.2
8/31/2021,2.9,3.89,5.3,5.3,1.626666667,2.95,3.2,3.8,9.68,0.8,-0.4
7/31/2021,3.17,3.82,5.59,5.4,1.19,3.13,2,3.7,8.99,1,-0.3
6/30/2021,3.36,4.09,6.26,5.4,0.623333333,1.98,2.5,2.4,8.35,1.1,-0.5
5/31/2021,3.2,2.9,6.3,5,0.056666667,2.47,2.1,2.2,8.06,1.3,-0.8
4/30/2021,3.12,3.17,4.23,4.2,-0.51,1.02,1.5,2,6.76,0.9,-1.1
3/31/2021,3.2,3.36,5.52,2.6,-0.696666667,-0.3,0.7,1.8,6.1,0.4,-0.4
2/28/2021,3.03,3.2,5.03,1.7,-0.883333333,-1.37,0.4,1.5,5.2,-0.2,-0.5
1/31/2021,2.95,3.12,4.06,1.4,-1.07,-1.29,0.7,1.2,4.56,-0.3,-0.7
12/31/2020,2.95,3.2,4.59,1.4,-1.41,-3.37,0.6,-0.2,4.52,0.2,-1.2
11/30/2020,2.78,3.03,6.93,1.2,-1.75,-2.94,0.3,0.2,4.31,-0.5,-0.9
10/31/2020,2.52,2.95,7.61,1.2,-2.09,-2.39,0.7,-0.3,3.92,0.5,-0.4
9/30/2020,2,2.95,7.27,1.4,-2.186666667,-2.97,0.5,-0.5,3.14,1.7,0
8/31/2020,2.18,2.78,6.69,1.3,-2.283333333,-4.05,0.2,-0.5,2.44,2.4,0.2
7/31/2020,1.92,2.52,6.73,1,-2.38,-3.41,1,-0.6,2.31,2.7,0.3
6/30/2020,1.75,2,6.23,0.6,-2.373333333,-3.41,0.6,0.6,2.13,2.5,0.1
5/31/2020,1.94,2.18,6.27,0.1,-2.366666667,-3.12,0.5,0.8,1.88,2.4,0.1
4/30/2020,1.85,1.92,7.22,0.3,-2.36,-3.06,0.8,1,2.4,3.3,0.1
3/31/2020,1.94,1.75,5.84,1.5,-2.106666667,-1.4,1.5,1.8,3.3,4.3,0.4
2/29/2020,1.67,1.94,6.58,2.3,-1.853333333,-0.47,1.7,2,4.01,5.2,0.4
1/31/2020,1.67,1.85,7.59,2.5,-1.6,-0.41,1.8,2.1,4.19,5.4,0.7
12/31/2019,1.5,1.94,7.35,2.3,-1.523333333,-0.33,1.3,1.5,4.31,4.5,0.8
11/30/2019,1.59,1.67,5.54,2.1,-1.446666667,-0.69,1.5,1,3.27,4.5,0.5
10/31/2019,1.5,1.67,4.62,1.8,-1.37,-0.84,1.5,1.1,2.54,3.8,0.2
9/30/2019,1.68,1.5,3.99,1.7,-1.636666667,0.06,1.7,1.2,2.89,3,0.2
8/31/2019,1.24,1.59,3.28,1.7,-1.903333333,0.24,1.7,1.4,3.43,2.8,0.3
7/31/2019,1.15,1.5,3.15,1.8,-2.17,-0.63,2.1,1.6,3.22,2.8,0.5
6/30/2019,1.06,1.68,3.18,1.6,-1.943333333,-0.41,2,1.6,3.37,2.7,0.7
5/31/2019,0.8,1.24,3.05,1.8,-1.716666667,-0.66,2,1.4,4.66,2.7,0.7
4/30/2019,0.71,1.15,2.99,2,-1.49,-0.39,2.1,1.9,4.94,2.5,0.9
3/31/2019,0.8,1.06,2.86,1.9,-1.82,-1.31,1.9,1.3,4.58,2.3,0.5
2/28/2019,0.62,0.8,2.57,1.5,-2.15,-1.55,1.9,1.4,3.89,1.5,0.2
1/31/2019,0.44,0.71,1.97,1.6,-2.48,-1.59,1.8,1.3,3.78,1.7,0.2
